,Substrat,System,Lac,Heb,Con,H,D0,Całkowita Biomasa,Nadziemna Biomasa,Biomasa korzeni,Biomasa korzenie grube,Biomasa korzenie drobne,Biomasa igieł,Biomasa strzały,Biomasa gałęzi,Biomasa nadziemna,Biomasa drewna,Vstrz,Vgal,Vkgl,Igły1rocznik,Igły2rocznik,Igły3rocznik
1,0,Odkryty,0,0,0,54,0.7,23.22,20.37,2.85,2.85,,9.32,7.51,3.54,11.05,13.9,20,10,10,5.85,3.47,0
2,0,Odkryty,0,0,0,42,1.1,38.52,31.25,7.27,2.82,4.45,12.67,10.15,8.43,18.58,25.85,23,18,8,3.43,9.24,0
3,0,Odkryty,0,0,0,84,2,187.24,160.15,27.09,19.61,7.48,67.53,43.31,49.31,92.62,119.71,110,120,55,38.85,28.68,0
4,0,Odkryty,0,0,0,102,2.2,256.77,229.25,27.52,22.84,4.68,111.72,70.48,47.05,117.53,145.05,210,125,75,76.06,35.66,0
5,0,Odkryty,0,0,0,78,2,231.85,199.92,31.93,17.66,14.27,97.81,49.99,52.12,102.11,134.04,120,120,50,56.12,41.69,0
6,0,Odkryty,0,0,0,73,2.2,314.678,266.718,47.96,22.25,25.71,147.658,46.11,72.95,119.06,167.02,130,200,75,86.694,60.964,0
7,0,Odkryty,0,0,0,40,0.8,23.3,19.87,3.43,3.43,,9.85,6.45,3.57,10.02,13.45,14,5,10,3.97,3.69,2.19
8,0,Odkryty,0,0,0,76,1.2,70.5,58.24,12.26,12.26,,27.4,19.58,11.26,30.84,43.1,45,27,32,10.16,13.73,3.51
9,0,Odkryty,0,0,0,69,1.2,71.35,64.56,6.79,6.79,,34.07,20.04,10.45,30.49,37.28,50,25,20,17.07,12.99,4.01
10,0,Odkryty,0,0,0,105,2.6,387.23,326.53,60.7,36.09,24.61,156.9,77.49,92.14,169.63,230.33,220,240,110,74.18,78.04,4.68
11,0,Odkryty,0,0,0,55,2.1,132.08,113.67,18.41,11.64,6.77,68.63,15.27,29.77,45.04,63.45,40,75,35,37.39,25.21,6.03
12,0,Odkryty,0,0,0,59,1.5,124.43,108.55,15.88,11.44,4.44,63.12,20.84,24.59,45.43,61.31,50,46,35,33.61,23.06,6.45
13,0,Odkryty,0,0,0,114,3,457.41,390.52,66.89,37.97,28.92,203.79,98.92,87.81,186.73,253.62,290,220,110,115.65,81.45,6.69
14,0,Odkryty,0,0,0,125,2.2,212.09,182.06,30.03,25.14,4.89,65.16,76.94,39.96,116.9,146.93,200,100,70,29.81,28.61,6.74
15,0,Odkryty,0,0,0,119,2.1,261.59,214.07,47.52,35.5,12.02,63.7,81.22,69.15,150.37,197.89,205,160,100,15.11,39.82,8.77
16,0,Odkryty,0,0,0,134,3.9,713.73,646.71,67.02,45.36,21.66,260.98,166.01,219.72,385.73,452.75,490,560,170,130.09,120.18,10.71
17,0,Odkryty,0,0,0,120,3.1,401.942,347.292,54.65,38.34,16.31,131.622,100.02,115.65,215.67,270.32,280,270,105,58.864,58.374,14.384
18,0,Odkryty,0,0,0,130,3.4,302.6,268.26,34.34,29.82,4.52,107.74,89.58,70.94,160.52,194.86,240,170,80,50.97,39.35,17.42
19,0,Odkryty,0,0,0,153,3.4,870.098,778.828,91.27,68.7,22.57,326.238,204.73,247.86,452.59,543.86,610,660,175,139.364,166.144,20.73
20,0,Odkryty,0,0,0,138,2.5,358.83,307.85,50.98,40.82,10.16,138.85,100.87,68.13,169,219.98,260,160,100,49.87,59.56,29.42
21,0,Odkryty,0,0,0,84,2,242.59,215.64,26.95,15.3,11.65,99.85,59.01,56.78,115.79,142.74,145,120,40,36.04,33.75,30.06
22,0,Odkryty,0,0,0,207,3.5,747.48,656.7,90.78,58.98,31.8,207.56,282.65,166.49,449.14,539.92,770,410,180,83.36,90.66,33.54
23,0,Odkryty,0,0,0,139,3,591.558,528.728,62.83,47.24,15.59,257.888,130.92,139.92,270.84,333.67,390,350,140,107.964,106.374,43.55
24,0,Odkryty,0,0,0,118,3,535.72,432.2,103.52,61.56,41.96,176.03,138.05,118.12,256.17,359.69,390,270,140,56.55,69.63,49.85
25,0,Odkryty,0,0,0,138,3.8,983.162,843.732,139.43,101.23,38.2,339.252,216.21,288.27,504.48,643.91,550,760,290,143.714,145.494,50.044
26,0,Odkryty,0,0,0,146,3.7,1115.354,970.494,144.86,87.87,56.99,436.894,207.63,325.97,533.6,678.46,630,770,260,217.374,166.05,53.47
27,0,Odkryty,0,0,0,114,3.6,903.882,764.272,139.61,99.33,40.28,346.882,155.74,261.65,417.39,557,440,700,260,134.594,140.844,71.444
