D,H,LK,LKW,HK,F,Fg,V,Drzewostan
51.8,39.03,16.84,0.431,22.19,0.450,0.449,3.6993,beskidek
51.8,39.03,16.84,0.431,22.19,0.450,0.449,3.6993,beskidek
47.8,38.54,20.45,0.531,18.09,0.427,0.426,2.9545,beskidek
51.2,39.08,21.19,0.542,17.89,0.423,0.422,3.4005,beskidek
49.8,39.84,18.35,0.461,21.49,0.427,0.427,3.3171,beskidek
46.9,39.58,15.69,0.396,23.89,0.490,0.489,3.3477,beskidek
54.1,37.68,18.69,0.496,18.99,0.463,0.463,4.0129,beskidek
52.8,38.68,19.59,0.506,19.09,0.446,0.445,3.7752,beskidek
49.6,38.64,19.85,0.514,18.79,0.417,0.416,3.1123,beskidek
34.7,33.43,,,,0.450,0.449,1.4230,beskidek
36.2,36.31,11.91,0.328,24.40,0.471,0.470,1.7594,beskidek
43.7,36.84,15.95,0.433,20.89,0.491,0.491,2.7153,beskidek
36.6,34.75,11.10,0.319,23.65,0.498,0.497,1.8214,beskidek
54.4,40.09,21.70,0.541,18.39,0.375,0.375,3.4983,beskidek
52.4,37.55,18.85,0.502,18.70,0.437,0.436,3.5355,beskidek
38.1,36.93,15.24,0.413,21.69,0.503,0.502,2.1190,beskidek
41.9,38.53,18.14,0.471,20.39,0.491,0.490,2.6080,beskidek
55.3,40.04,21.85,0.546,18.19,0.431,0.430,4.1428,beskidek
48.6,40.44,22.55,0.558,17.89,0.441,0.441,3.3093,beskidek
47.3,39.62,15.83,0.400,23.79,0.469,0.469,3.2673,beskidek
46.3,37.15,16.45,0.443,20.70,0.400,0.400,2.5046,beskidek
47.8,37.94,16.85,0.444,21.09,0.439,0.439,2.9912,beskidek
45.9,35.69,16.79,0.470,18.90,0.428,0.428,2.5293,beskidek
44.2,37.57,16.68,0.444,20.89,0.468,0.467,2.6973,beskidek
43.4,36.08,16.08,0.446,20.00,0.449,0.448,2.3970,beskidek
45.6,36.50,20.20,0.553,16.30,0.443,0.442,2.6388,beskidek
50.6,38.76,15.37,0.397,23.39,0.461,0.460,3.5895,beskidek
41.5,36.77,16.38,0.445,20.39,0.453,0.453,2.2553,beskidek
36.7,32.09,15.09,0.470,17.00,0.443,0.442,1.5044,beskidek
51.0,39.13,15.64,0.400,23.49,0.446,0.446,3.5669,beskidek
54.2,38.61,20.52,0.531,18.09,0.482,0.482,4.2944,beskidek
30.9,30.49,10.59,0.347,19.90,0.480,0.478,1.0973,beskidek
45.3,37.14,19.75,0.532,17.39,0.397,0.396,2.3776,beskidek
44.6,37.14,15.45,0.416,21.69,0.431,0.430,2.5005,beskidek
47.5,35.99,15.50,0.431,20.49,0.447,0.446,2.8484,beskidek
36.2,35.75,15.15,0.424,20.60,0.494,0.493,1.8166,beskidek
29.3,31.22,4.02,0.129,27.20,0.489,0.487,1.0305,beskidek
47.6,37.09,14.65,0.395,22.44,0.456,0.455,3.0076,beskidek
40.4,36.99,12.69,0.343,24.30,0.467,0.466,2.2130,beskidek
42.6,36.67,15.57,0.425,21.10,0.515,0.514,2.6910,beskidek
41.5,37.66,15.87,0.421,21.79,0.492,0.491,2.5069,beskidek
42.1,36.54,14.54,0.398,22.00,0.511,0.510,2.6004,beskidek
46.7,38.85,19.46,0.501,19.39,0.506,0.505,3.3676,beskidek
41.5,34.30,17.51,0.510,16.79,0.444,0.444,2.0616,beskidek
36.2,37.88,15.28,0.403,22.60,0.519,0.518,2.0228,beskidek
32.2,32.74,12.74,0.389,20.00,0.494,0.493,1.3182,beskidek
48.7,36.78,17.88,0.486,18.90,0.440,0.439,3.0115,beskidek
42.8,40.20,15.60,0.388,24.60,0.463,0.463,2.6805,beskidek
41.4,38.50,14.81,0.385,23.69,0.525,0.525,2.7226,beskidek
38.8,34.20,14.70,0.430,19.50,0.450,0.450,1.8216,beskidek
37.5,35.85,15.95,0.445,19.90,0.482,0.481,1.9069,beskidek
29.6,28.32,12.32,0.435,16.00,0.470,0.468,0.9167,beskidek
56.8,38.25,16.06,0.420,22.19,0.375,0.374,3.6324,beskidek
53.1,38.50,18.21,0.473,20.29,0.421,0.420,3.5894,beskidek
61.4,41.10,19.21,0.467,21.89,0.459,0.459,5.5832,beskidek
30.3,30.90,9.00,0.291,21.90,0.508,0.506,1.1316,beskidek
51.9,39.71,19.02,0.479,20.69,0.473,0.472,3.9711,beskidek
36.4,33.75,11.05,0.327,22.70,0.485,0.484,1.7039,beskidek
39.8,34.91,16.41,0.470,18.50,0.461,0.460,2.0024,beskidek
46.5,35.45,20.85,0.588,14.60,0.427,0.427,2.5719,beskidek
50.7,40.04,16.65,0.416,23.39,0.450,0.450,3.6416,beskidek
64.4,40.48,20.29,0.501,20.19,0.474,0.473,6.2432,beskidek
35.9,34.26,12.36,0.361,21.90,0.460,0.458,1.5954,beskidek
39.6,34.48,13.58,0.394,20.90,0.440,0.440,1.8698,beskidek
45.8,38.72,20.72,0.535,18.00,0.497,0.496,3.1685,beskidek
37.9,33.55,16.56,0.494,16.99,0.417,0.416,1.5800,beskidek
45.2,37.90,17.41,0.459,20.49,0.474,0.473,2.8811,beskidek
64.4,39.56,19.37,0.490,20.19,0.406,0.406,5.2351,beskidek
51.6,36.37,12.18,0.335,24.19,0.476,0.476,3.6232,beskidek
48.6,38.73,18.64,0.481,20.09,0.489,0.488,3.5099,beskidek
31.7,35.27,11.38,0.323,23.89,0.496,0.495,1.3813,beskidek
49.3,39.69,16.29,0.410,23.40,0.456,0.456,3.4559,beskidek
49.4,37.83,17.83,0.471,20.00,0.449,0.449,3.2562,beskidek
40.4,36.94,13.74,0.372,23.20,0.426,0.425,2.0161,beskidek
40.6,36.48,15.89,0.436,20.59,0.526,0.525,2.4822,beskidek
46.4,34.29,20.69,0.603,13.60,0.459,0.458,2.6589,beskidek
