Obw,obw-rodzaj,Klasa_wieku,Klasa_W,wiek,forma_poroza,dl_czaszki,szer_czaszki,dl_tyki_lewej,dl_tyki_prawej,masa_poroza,masa_tuszy
148,lesny,I,1,3,WR,"19,4",9,15,"13,6",259,13
148,lesny,II,2,4,WR,"19,4",9,"15,2","15,9",230,14
148,lesny,II,2,4,WR,20,"9,3","16,5","16,5",282,14
148,lesny,II,2,4,6R,"20,4",9,"16,4",18,436,15
148,lesny,II,2,5,WR,"19,3",9,"12,8","13,5",232,14
148,lesny,III,3,7,M,"19,9","9,7",,"15,9",239,16
148,lesny,III,3,7,WN,19,9,16,"16,5",234,15
155,lesny,I,1,2,SP,"19,7","8,8","12,5","11,7",200,16
155,lesny,I,1,3,WR,"18,4","8,8","12,5","12,9",175,10
155,lesny,I,1,3,WR,"18,6","8,9","13,2",14,190,12
155,lesny,I,1,3,SY,"18,5","8,9","11,9","13,1",210,12
155,lesny,I,1,3,WR,"19,2","8,9","14,3","14,7",215,14
155,lesny,II,2,4,6R,21,"9,7","14,4","14,1",260,15
155,lesny,II,2,4,6R,20,"9,2","15,7",16,240,19
155,lesny,II,2,4,6R,"19,4",9,"17,9","18,3",345,17
155,lesny,II,2,5,6N,"19,5","9,1","17,1","16,8",240,13
155,lesny,III,3,6,6R,"18,9",9,"15,3","16,1",225,15
155,lesny,III,3,6,6R,"19,5",9,"18,5",18,300,14
155,lesny,III,3,6,6R,"19,3",9,"17,8",18,365,13
155,lesny,III,3,7,6R,"19,2",9,"17,8","17,2",230,13
155,lesny,III,3,10,6N,"19,5","9,2","16,7","16,6",270,15
156,lesny,I,1,2,SP,"18,5","8,2","2,3",4,90,12
156,lesny,I,1,3,WR,"19,8","9,2","17,5","16,6",280,17
156,lesny,I,1,3,M,"19,2","9,3","13,3","17,6",290,16
156,lesny,I,1,3,WR,"19,5",9,"14,4",13,250,12
156,lesny,I,1,3,WR,"19,6",9,"15,6","15,7",280,15
156,lesny,II,2,4,6N,"20,4","9,4","17,2","17,9",320,14
156,lesny,II,2,4,NN,"19,8","9,3",,"16,1",190,14
156,lesny,II,2,4,SY,"19,8","9,4",,"15,9",200,13
156,lesny,II,2,4,6N,"19,5","9,1","16,7","17,1",280,17
156,lesny,II,2,4,SY,"19,7","9,2","11,6",12,230,14
156,lesny,II,2,4,SY,"19,6","9,2","12,5","12,9",250,13
156,lesny,II,2,4,WR,"19,2","8,9","14,9","15,3",215,12
156,lesny,II,2,4,6N,"20,2","9,3",18,"17,5",360,17
156,lesny,II,2,5,6R,"19,5","8,9","17,2","16,7",260,18
156,lesny,II,2,5,6R,"19,4",9,16,"16,5",210,14
156,lesny,III,3,6,6R,"20,5","9,5","19,9","20,6",400,17
156,lesny,III,3,7,6N,"18,4","8,8","16,5","15,9",215,11
156,lesny,III,3,8,SY,"20,4","9,3","11,6",9,195,14
156,lesny,III,3,8,6R,"19,4",9,"14,5","13,8",210,14
156,lesny,III,3,9,M,"19,8","9,1","17,6","18,3",220,7
156,lesny,III,3,10,6R,"19,4",9,16,"16,6",255,14
157,lesny,I,1,2,SP,"19,4","9,2","9,5","6,1",198,15
157,lesny,I,1,2,SP,"19,2","8,8","7,5",8,158,15
157,lesny,I,1,3,6N,"19,6","9,4","17,2","18,9",340,15
157,lesny,I,1,3,WR,"19,5",9,"13,9","12,7",210,13
157,lesny,I,1,3,WR,20,"9,5","16,6","15,4",286,12
157,lesny,I,1,3,WR,"19,7","8,6","13,5",14,205,15
157,lesny,II,2,4,WR,"19,6","9,5","15,6","16,5",270,14
157,lesny,II,2,4,6R,"19,3","9,1","17,7",18,237,18
157,lesny,II,2,4,WR,"19,6","9,3","14,8","13,5",215,14
157,lesny,II,2,4,6N,"19,5",9,"16,7","16,2",296,17
157,lesny,II,2,4,6R,"20,1","9,5","18,3","16,9",373,17
157,lesny,II,2,4,6N,20,"9,2","15,6","19,5",261,16
157,lesny,II,2,4,WN,"20,5",9,"17,6",19,295,14
157,lesny,II,2,4,6N,"19,2","9,3",18,"22,5",296,17
157,lesny,II,2,4,6R,"19,3","9,3","21,6","21,6",373,17
157,lesny,II,2,4,6R,"20,5","9,6","16,7","16,5",331,16
157,lesny,II,2,5,WR,"19,8","9,5","17,4","16,8",301,16
157,lesny,II,2,5,6R,"20,5","9,5","17,2","18,8",326,20
157,lesny,II,2,5,6R,"19,8","9,2","16,9","17,1",207,15
157,lesny,II,2,5,6N,"18,2","8,4",18,"14,5",313,14
157,lesny,II,2,5,6R,"19,5","9,2","15,7","15,5",207,15
157,lesny,II,2,5,6N,"18,9","9,1","17,7","19,3",359,17
157,lesny,III,3,6,WR,"19,8","9,5","18,7",19,317,17
157,lesny,III,3,6,WN,"19,5","9,2","15,1","18,6",271,15
157,lesny,III,3,6,6N,"19,7",9,"18,4","18,9",333,17
157,lesny,III,3,6,6N,"20,4","9,4","20,2",14,296,17
157,lesny,III,3,6,6N,"19,5","9,3","18,5",18,296,15
157,lesny,III,3,6,6N,"19,5","9,2",20,"20,7",324,16
157,lesny,III,3,6,6R,"20,2","9,4","16,2","16,4",351,18
157,lesny,III,3,7,WN,"19,5","9,3","17,2","18,3",278,17
157,lesny,III,3,7,6R,"19,6","9,5","17,2","16,8",315,16
157,lesny,III,3,7,WR,20,"9,6",18,"16,5",332,20
157,lesny,III,3,8,6R,"20,3","9,6","16,5",16,293,14
157,lesny,III,3,9,6R,"20,7","9,5","23,5","22,7",391,17
157,lesny,III,3,10,8N,"20,4","9,6","22,5","22,9",392,16
157,lesny,III,3,10,6R,"19,3","9,2",17,"17,5",224,15
147,polno-lesny,I,1,2,G,"18,8","8,8",1,1,103,18
147,polno-lesny,I,1,2,M,"19,9","8,9","13,6","13,5",204,13
147,polno-lesny,I,1,2,WN,"17,7","8,3","9,3","9,3",137,16
147,polno-lesny,I,1,3,WR,19,"8,5","14,2","14,8",213,15
147,polno-lesny,I,1,3,WR,"19,7","9,2","13,5","14,3",234,15
147,polno-lesny,I,1,3,WR,"20,8","9,3","12,5","14,3",247,16
147,polno-lesny,I,1,3,WR,"19,3","8,6","12,7","13,2",207,16
147,polno-lesny,I,1,3,6N,"18,8","8,9","17,1","16,4",253,16
147,polno-lesny,I,1,3,WR,"19,2","8,7","15,3","15,5",227,14
147,polno-lesny,I,1,3,WR,"19,7","8,9","13,5",14,217,14
147,polno-lesny,I,1,3,WR,"19,8",9,"16,4","17,3",297,19
147,polno-lesny,II,2,4,WR,"20,2","9,4","15,5","15,3",279,17
147,polno-lesny,II,2,4,WR,"19,8","8,7","14,4","13,8",255,19
147,polno-lesny,II,2,4,6R,19,9,"17,8","18,8",249,16
147,polno-lesny,II,2,4,6N,"19,5","9,2",20,"19,2",311,16
